Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,attendance,attendance_per_g
2003/2004,Utah Jazz,24.9,42,40,37,45,-1.22,0.69,-0.53,101.9,103.3,-1.4,86.6,.356,.127,.509,.456,16.1,34.1,.266,.468,15.4,72.4,.319,"785,330","19,154"
2003/2004,Boston Celtics,26.4,36,46,37,45,-1.45,-0.54,-1.99,102.1,103.7,-1.6,93.2,.327,.249,.532,.486,15.4,25.2,.245,.479,15.7,69.5,.240,"664,248","16,201"
2003/2004,New York Knicks,29.6,39,43,36,46,-1.48,-0.49,-1.97,101.7,103.3,-1.6,89.5,.266,.171,.518,.474,15.1,28.0,.211,.461,13.2,72.8,.259,"785,739","19,164"
2003/2004,Philadelphia 76ers,27.5,33,49,33,49,-2.49,-0.46,-2.95,99.1,101.9,-2.8,88.0,.321,.158,.505,.456,15.5,28.2,.242,.467,14.7,70.7,.231,"788,128","19,223"
2003/2004,Cleveland Cavaliers,24.9,35,47,33,49,-2.62,-0.44,-3.07,101.4,104.2,-2.8,90.8,.301,.116,.498,.451,13.7,31.1,.226,.469,12.3,73.0,.221,"749,790","18,288"
2003/2004,Toronto Raptors,27.6,33,49,31,51,-3.01,-0.40,-3.42,97.0,100.4,-3.4,86.8,.260,.204,.495,.454,14.1,23.8,.195,.449,14.1,70.1,.241,"750,608","18,308"
2003/2004,Phoenix Suns,24.4,29,53,30,52,-3.74,0.80,-2.94,101.4,105.5,-4.1,92.6,.280,.180,.515,.475,14.3,26.6,.209,.482,14.7,69.9,.240,"670,385","16,351"
2003/2004,Los Angeles Clippers,24.3,28,54,28,54,-4.59,0.84,-3.74,103.5,108.5,-5.0,91.0,.350,.156,.512,.453,15.0,32.8,.275,.494,12.9,70.0,.231,"665,396","16,143"
2003/2004,Atlanta Hawks,26.2,28,54,28,54,-4.65,-0.36,-5.00,101.0,106.1,-5.1,90.8,.303,.191,.514,.465,15.4,28.6,.235,.476,13.1,70.5,.234,"565,728","13,798"
2003/2004,Washington Wizards,24.4,25,57,25,57,-5.63,-0.48,-6.12,98.8,104.8,-6.0,92.2,.337,.194,.500,.454,16.0,30.7,.241,.486,14.9,69.5,.214,"645,363","15,741"
2003/2004,Chicago Bulls,26.8,23,59,23,59,-6.35,-0.33,-6.69,96.6,103.4,-6.8,92.2,.272,.186,.486,.446,14.9,28.1,.197,.469,14.1,71.4,.253,"809,177","19,736"
2003/2004,Orlando Magic,25.8,21,61,22,60,-7.02,-0.23,-7.25,102.7,110.4,-7.7,90.8,.296,.184,.504,.461,12.8,28.1,.218,.502,12.7,68.7,.214,"589,144","14,369"
2004/2005,San Antonio Spurs,28.5,59,23,63,19,7.80,0.03,7.84,107.5,98.8,+8.7,88.9,.329,.216,.534,.492,13.2,29.1,.238,.452,14.7,73.6,.236,"750,970","18,316"
2004/2005,Phoenix Suns,25.2,62,20,59,23,7.12,-0.04,7.08,114.5,107.1,+7.4,95.9,.296,.289,.571,.534,12.4,27.5,.222,.478,12.0,68.3,.176,"726,066","17,709"
2004/2005,Miami Heat,28.0,59,23,59,23,6.52,-0.76,5.77,110.2,103.1,+7.1,90.8,.387,.198,.559,.524,13.1,27.0,.260,.460,12.4,74.1,.242,"815,143","19,882"
2004/2005,Dallas Mavericks,27.7,58,24,57,25,5.74,0.11,5.86,110.3,104.1,+6.2,92.7,.346,.190,.545,.492,12.5,28.6,.273,.472,14.3,70.2,.239,"822,533","20,062"
2004/2005,Houston Rockets,29.7,51,31,53,29,4.04,0.23,4.27,106.2,101.7,+4.5,88.8,.309,.237,.534,.486,13.5,26.3,.242,.459,12.9,74.5,.245,"663,444","16,182"
2004/2005,Detroit Pistons,27.9,54,28,53,29,3.87,-0.55,3.31,105.6,101.2,+4.4,87.2,.335,.164,.519,.472,13.3,31.2,.247,.461,13.5,73.0,.207,"905,116","22,076"
2004/2005,Seattle SuperSonics,26.0,52,30,48,34,2.29,0.30,2.59,112.2,109.6,+2.6,87.9,.328,.281,.546,.495,13.0,32.4,.259,.496,12.9,71.3,.249,"675,490","16,475"
2004/2005,Memphis Grizzlies,26.3,45,37,48,34,2.29,0.34,2.64,105.5,102.9,+2.6,88.5,.323,.237,.535,.489,14.3,27.1,.243,.466,15.4,69.9,.270,"691,362","16,862"
2004/2005,Sacramento Kings,27.7,50,32,47,35,2.16,0.40,2.56,110.5,108.2,+2.3,93.0,.287,.200,.541,.496,12.0,28.8,.226,.493,13.3,69.0,.214,"709,997","17,317"
2004/2005,Denver Nuggets,26.7,49,33,47,35,2.02,0.20,2.23,106.0,103.9,+2.1,93.5,.350,.142,.535,.483,13.8,28.4,.267,.482,15.1,71.7,.247,"723,949","17,657"
2004/2005,Minnesota Timberwolves,29.0,44,38,45,37,1.45,0.28,1.73,108.2,106.6,+1.6,89.1,.275,.173,.534,.489,12.7,28.6,.219,.472,11.2,71.4,.208,"704,438","17,181"
2004/2005,Chicago Bulls,25.0,47,35,44,38,1.06,-0.41,0.65,101.4,100.3,+1.1,92.4,.311,.217,.517,.471,15.5,28.4,.233,.454,14.4,72.6,.262,"828,384","20,204"
